x,y
0.0,1.0
1.339913052597187,1.4450354608136353
1.744160437431315,1.5735680351628152
1.9884281326612534,1.646090115508615
2.210284687070741,1.7088734097437404
2.422759416548687,1.7660685581436626
2.631978177254934,1.8195188935607975
2.8414483510661386,1.8701804204070642
3.0534646826145284,1.918587894325866
3.269687602962305,1.9650461129147314
3.491418805549885,2.0097204315868398
3.7197471695856534,2.0526839847712157
3.955632566936806,2.0939440631765303
4.199957295141181,2.133457539747932
4.4535595012449205,2.1711401204981433
4.717256060413432,2.206871897167411
4.991859026423816,2.2405005616121714
5.278188041905605,2.271843063263587
5.577080154531535,2.300686174762554
5.889397949385718,2.3267862497849245
6.216036591013468,2.3498683489649927
6.557930175443852,2.3696248427507793
6.916057671418045,2.385713556812599
7.29144865253989,2.3977554966880885
7.685188971607748,2.4053321681374884
8.098426495210695,2.407982494891969
